column,category,nan_count,nan_pct
dist_to_resistance_10,patterns,0,0.0
dist_to_resistance_20,patterns,0,0.0
dist_to_support_10,patterns,0,0.0
dist_to_support_20,patterns,0,0.0
close_original,raw_price,0,0.0
close_raw,raw_price,0,0.0
high_original,raw_price,0,0.0
high_raw,raw_price,0,0.0
low_original,raw_price,0,0.0
low_raw,raw_price,0,0.0
open_original,raw_price,0,0.0
open_raw,raw_price,0,0.0
ema_200,technical,0,0.0
ema_50,technical,0,0.0
macd,technical,0,0.0
macd_hist,technical,0,0.0
macd_signal,technical,0,0.0
rsi_14,technical,0,0.0
sma_200,technical,0,0.0
sma_50,technical,0,0.0
stoch_d,technical,0,0.0
stoch_k,technical,0,0.0
day_of_week,time,0,0.0
hour_of_day,time,0,0.0
month,time,0,0.0
close_return,transformed_price,0,0.0
high_return,transformed_price,0,0.0
low_return,transformed_price,0,0.0
open_return,transformed_price,0,0.0
atr_14,volatility,0,0.0
gk_volatility,volatility,0,0.0
normalized_atr,volatility,0,0.0
volatility_10,volatility,0,0.0
volatility_20,volatility,0,0.0
volatility_30,volatility,0,0.0
volatility_5,volatility,0,0.0
volume,volume,0,0.0
